Site,Knoll,Projected area before,Surface Area before,Projected area after,Surface area after,change ,change percentage
Princess,10,6.40764,18.32148138,3.470805,8.194431678,-10.1270497,-55.27418602
Princess,11,13.6554975,30.06832424,11.33901,25.42965628,-4.638667966,-15.42709174
Princess,12,10.71081,28.21278516,6.6824775,16.06908212,-12.14370303,-43.043262
Princess,13,3.01536,6.938487153,3.141,7.654619318,0.716132165,10.32115719
Princess,14,7.63263,18.22605127,3.64356,7.852525241,-10.37352603,-56.91592697
Princess,15,12.5561475,29.90604753,7.5148425,19.23593433,-10.67011319,-35.67878097
Princess,16,2.38716,6.081300311,2.5363575,5.97247329,-0.108827022,-1.789535396
Princess,17,14.181615,36.80295088,19.238625,45.24738918,8.444438292,22.94500329
Princess,18,4.1225625,10.1565717,3.282345,7.010211623,-3.146360075,-30.97856411
Princess,19,4.318875,9.463555537,3.61215,8.140985296,-1.322570242,-13.97540529
Princess,20,2.54421,6.003838526,2.591325,5.333290823,-0.670547703,-11.16864986
Princess,21,3.01536,7.883402246,1.50768,3.484763839,-4.398638407,-55.79619395
