First Observer,Knoll,Notes,Second Observer,Time End,Time Start,column_to_join_by,Observer,Species,Amount,Length,Confidence,meta_to_site_identifier,Date,Location,Start,End,Country,Project,Reserve,KnollID,Lat(N),Lon(E)
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,second,Thalassoma rueppellii,1,22,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,second,Thalassoma rueppellii,1,24,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,second,Chlorurus gibbus,1,40,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,second,Epinephelus fasciatus,1,36,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,second,Cephalopholis hemistiktos,1,18,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,second,Chromis dimidiata,1,5,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,second,Chromis dimidiata,1,4,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,second,Pomacentrus trichourus,1,8,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,second,Pseudanthias squamipinnis,1,6,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,second,Pseudanthias squamipinnis,1,5,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,second,Coris aygula,1,3,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,second,Pomacentrus trichourus,1,2,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,second,Ecsenius gravieri,1,4,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,3,NA,Sarah Ohayon,NA,13:30,TRUE,second,Tripterygiidae sp.,1,2,0,Mai LazarusSarah Ohayon3,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,3,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,first,Zebrasoma desjardinii,2,30,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,first,Cheilinus lunulatus,1,20,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,first,Zebrasoma xanthurum,1,20,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,first,Zebrasoma xanthurum,1,16,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,first,Sufflamen albicaudatus,1,13,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,first,Sufflamen albicaudatus,1,15,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,first,Ostracion cyanurus,1,13,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,first,Chaetodon paucifasciatus,1,13,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,first,Ctenochaetus striatus,1,17,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,first,Ctenochaetus striatus,1,14,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
