Species,Species_2015,Family,Status_survey_based,based_on_home_range,based_on_reef_assosiation,notes,,
Halichoeres marginatus,Labridae,Labridae,T,,,,,
Halichoeres scapularis,Labridae,Labridae,T,,,,,
Halichoeres spp.,Labridae,Labridae,T,,,,,
Hemigymnus fasciatus,Labridae,Labridae,T,,,,,
Hologymnosus annulatus,Labridae,Labridae,T,,,,,
Labrid spp. ,Labridae,Labridae,T,,,,,
Labroides dimidiatus,Labroides dimidiatus,Labridae,C,,,,,
Larabicus quadrilineatus,Larabicus quadrilineatus,Labridae,C,,,,,
Macropharyngodon bipartitus,Labridae,Labridae,T,,,,,
Oxycheilinus digramma,Labridae,Labridae,T,,,,,
Paracheilinus octotaenia,Labridae,Labridae,T,,,,,
Pseudocheilinus evanidus,Pseudocheilinus evanidus,Labridae,T,,,,,
Pseudocheilinus hexataenia,Pseudocheilinus hexataenia,Labridae,T,,,,,
Stethojulis albovittata,Labridae,Labridae,T,,,,,
Stethojulis interrupta,Labridae,Labridae,T,,,,,
Stethojulis spp.,Labridae,Labridae,T,,,,,
Thalassoma lunare,Thalassoma spp.,Labridae,T,,,,,
Thalassoma rueppellii,Thalassoma spp.,Labridae,T,,,,,
Thalassoma spp.,Thalassoma spp.,Labridae,T,,,,,
Lethrinus borbonicus,Lethrinidae,Lethrinidae,T,,,,,
Lethrinus mahsena,Lethrinidae,Lethrinidae,T,,,,,
Lethrinus nebulosus,Lethrinidae,Lethrinidae,T,,,,,
Lethrinus obsoletus,Lethrinidae,Lethrinidae,T,,,,,
Lethrinus spp.,Lethrinidae,Lethrinidae,T,,,,,
Monotaxis grandoculis,Lethrinidae,Lethrinidae,T,,,,,
Lutjanus bohar,Lethrinidae,Lutjanidae,T,,,,,
Aluterus scriptus,Monacanthidae,Monacanthidae,T,,,,,
Amanses scopas,Monacanthidae,Monacanthidae,T,,,,,
Cantherhines dumerilii,Monacanthidae,Monacanthidae,T,,,,,
Cantherhines pardalis,Monacanthidae,Monacanthidae,T,,,,,
Monacanthidae spp. ,Monacanthidae,Monacanthidae,T,,,,,
Oxymonacanthus halli,Monacanthidae,Monacanthidae,C,,,,,
Crenimugil crenilabis,Mugilidae,Mugilidae,T,,,,,
Mugilidae spp.,Mugilidae,Mugilidae,T,,,,,
Mullidae spp. ,Mullidae,Mullidae,T,,,,,
Mulloidichthys flavolineatus,Mullidae,Mullidae,T,,,,,
Mulloidichthys vanicolensis,Mullidae,Mullidae,NA,,,,,
Parupeneus cyclostomus,Parupeneus cyclostomus,Mullidae,T,,,,,
Parupeneus forsskali,Mullidae,Mullidae,T,,,,,
Parupeneus macronemus,Mullidae,Mullidae,T,,,,,
Parupeneus rubescens,Mullidae,Mullidae,T,,,,,
Gymnothorax flavimarginatus,Muraenidae,Muraenidae,C,,,,,
Gymnothorax griseus,Muraenidae,Muraenidae,C,,,,,
Gymnothorax javanicus,Muraenidae,Muraenidae,NA,,,,,
Gymnothorax nudivomer,Muraenidae,Muraenidae,C,,,,,
Gymnothorax undulatus,Muraenidae,Muraenidae,C,,,,,
Muraenidae spp.,Muraenidae,Muraenidae,C,,,,,
Scolopsis ghanam,Scolopsis ghanam,Nemipteridae,T,,,,,
Myrichthys maculosus,Ophichthidae,Ophichthidae,C,,,,,
Ostracion cubicus,Ostracion spp.,Ostraciidae,T,,,,,
Ostracion cyanurus,Ostracion spp.,Ostraciidae,T,,,,,
Ostracion spp.,Ostracion spp.,Ostraciidae,T,,,,,
Parapriacanthus ransonneti,Pempheridae,Pempheridae,C,,,,,
Parapercis hexophtalma,Pinguipedidae,Pinguipedidae,C,,,,,
Pinguipedidae spp.,Pinguipedidae,Pinguipedidae,C,,,,,
Papilloculiceps longiceps,Platycephalidae,Platycephalidae,C,,,,,
Apolemichthys xanthotis,Apolemichthys xanthotis,Pomacanthidae,T,,,,,
Centropyge multispinis,Centropyge multispinis,Pomacanthidae,T,,,,,
Pomacanthus imperator,Pomacentridae,Pomacanthidae,T,,,,,
Pygoplites diacanthus,Pomacanthidae,Pomacanthidae,T,,,,,
Abudefduf sexfasciatus,Abudefduf spp.,Pomacentridae,T,,,,,
Abudefduf sordidus,Abudefduf spp.,Pomacentridae,T,,,,,
Abudefduf spp.,Abudefduf spp.,Pomacentridae,T,,,,,
Abudefduf vaigiensis,Abudefduf spp.,Pomacentridae,T,,,,,
Amblyglyphidodon flavilatus,Amblyglyphidodon spp.,Pomacentridae,C,,,,,
Amblyglyphidodon indicus,Amblyglyphidodon spp.,Pomacentridae,C,,,,,
Amblyglyphidodon leucogaster,Amblyglyphidodon spp.,Pomacentridae,C,,,,,
Amblyglyphidodon spp.,Amblyglyphidodon spp.,Pomacentridae,C,,,,,
Amphiprion bicinctus,Amphiprion bicinctus,Pomacentridae,C,,,,,
Chromis dimidiata,Chromis dimidiata,Pomacentridae,C,,,,,
Chromis flavaxilla,Chromis spp.,Pomacentridae,C,,,,,
Chromis pelloura,Chromis spp.,Pomacentridae,C,,,,,
Chromis pembae,Chromis spp.,Pomacentridae,T,,,,,
Chromis spp.,Chromis spp.,Pomacentridae,C,,,,,
Chromis ternatensis,Chromis spp.,Pomacentridae,C,,,,,
Chromis viridis,Chromis viridis,Pomacentridae,C,,,,,
Chromis weberi,Chromis spp.,Pomacentridae,T,,,,,
Chrysiptera unimaculata,Pomacentridae,Pomacentridae,C,,,,,
Dascyllus aruanus,Dascyllus aruanus,Pomacentridae,C,,,,,
Dascyllus marginatus,Dascyllus marginatus,Pomacentridae,C,,,,,
Dascyllus trimaculatus,Dascyllus trimaculatus,Pomacentridae,C,,,,,
Neoglyphidodon melas,Neoglyphidodon melas,Pomacentridae,C,,,,,
Neopomacentrus miryae,Neopomacentrus miryae,Pomacentridae,T,,,,,
Plectroglyphidodon lacrymatus,Pomacentridae,Pomacentridae,C,,,,,
Plectroglyphidodon leucozonus,Pomacentridae,Pomacentridae,C,,,,,
Plectroglyphidodon spp.,Pomacentridae,Pomacentridae,C,,,,,
Pomacanthus spp.,Pomacentridae,Pomacentridae,T,,,,,
Pomacentrus sulfureus,Pomacentrus sulfureus,Pomacentridae,C,,,,,
Pomacentrus trichrourus,Pomacentrus trichrourus,Pomacentridae,C,,,,,
Pomacentrus trilineatus,Pomacentridae,Pomacentridae,C,,,,,
Priacanthus hamrur,Priacanthidae,Priacanthidae,C,,,,,
Haliophis guttatus,Pseudochromidae,Pseudochromidae,C,,,,,
Haliophis sp.,Pseudochromidae,Pseudochromidae,C,,,,,
Pseudochromis flavivertex,Pseudochromidae,Pseudochromidae,C,,,,,
Pseudochromis fridmani,Pseudochromis fridmani,Pseudochromidae,C,,,,,
Pseudochromis olivaceus,Pseudochromis olivaceus,Pseudochromidae,C,,,,,
Pseudochromis pesi,Pseudochromidae,Pseudochromidae,C,,,,,
Pseudochromis spp.,Pseudochromidae,Pseudochromidae,C,,,,,
Pseudochromis springeri,Pseudochromis springeri,Pseudochromidae,C,,,,,
Calotomus viridescens,Scaridae,Scaridae,T,,,,,
Cetoscarus bicolor,Scaridae,Scaridae,T,,,,,
Chlorurus gibbus,Scaridae,Scaridae,T,,,,,
Chlorurus sordidus,Scaridae,Scaridae,T,,,,,
Hipposcarus harid,Scaridae,Scaridae,T,,,,,
Scaridae spp.,Scaridae,Scaridae,T,,,,,
Scarus collana,Scaridae,Scaridae,T,,,,,
Scarus ferrugineus,Scaridae,Scaridae,T,,,,,
Scarus frenatus,Scaridae,Scaridae,T,,,,,
Scarus fuscopurpureus,Scaridae,Scaridae,T,,,,,
Scarus niger,Scaridae,Scaridae,T,,,,,
Scarus psittacus,Scaridae,Scaridae,T,,,,,
Scarus spp.,Scaridae,Scaridae,C,,,,,
Pterois miles,Pterois miles,Scorpaenidae,T,,,,,
Pterois radiata,Pterois radiata,Scorpaenidae,C,,,,,
Scorpaenodes parvipinnis,Scorpaenidae,Scorpaenidae,NA,,,,,
Scorpaenopsis barbata,Scorpaenidae,Scorpaenidae,C,,,,,
Scorpaenopsis diabolus,Scorpaenidae,Scorpaenidae,C,,,,,
Scorpaenopsis spp.,Scorpaenidae,Scorpaenidae,C,,,,,
Sebastapistes cyanostigma,Scorpaenidae,Scorpaenidae,C,,,,,
Aethaloperca rogaa,Serranidae,Serranidae,T,,,,,
Cephalopholis argus,Serranidae,Serranidae,T,,,,,
Cephalopholis hemistiktos,Serranidae,Serranidae,T,,,,,
Cephalopholis miniata,Serranidae,Serranidae,T,,,,,
Epinephelus fasciatus,Epinephelus fasciatus,Serranidae,T,,,,,
Epinephelus malabaricus,Serranidae,Serranidae,T,,,,,
Epinephelus tauvina,Serranidae,Serranidae,T,,,,,
Grammistes sexlineatus,Grammistes sexlineatus,Serranidae,T,,,,,
Pseudanthias spp.,Pseudanthias spp.,Serranidae,T,,,,,
Pseudanthias squamipinnis,Pseudanthias spp.,Serranidae,T,,,,,
Serranidae spp.,Serranidae,Serranidae,T,,,,,
Variola louti,Variola louti,Serranidae,T,,,,,
Siganus  spp.,Siganus  spp.,Siganidae,T,,,,,
Siganus argenteus,Siganus  spp.,Siganidae,T,,,,,
Siganus luridus,Siganus  spp.,Siganidae,T,,,,,
Siganus rivulatus,Siganus  spp.,Siganidae,T,,,,,
Siganus stellatus,Siganus  spp.,Siganidae,T,,,,,
Pardachirus marmoratus,Soleidae,Soleidae,C,,,,,
Acanthopagrus bifasciatus,Sparidae,Sparidae,T,,,,,
Diplodus noct,Sparidae,Sparidae,T,,,,,
Sphyraena barracuda,Sphyraena barracuda,Sphyraenidae,T,,,,,
Sphyraena flavicauda,Sphyraena flavicauda,Sphyraenidae,T,,,,,
Inimicus filamentosus,Synanceiidae,Synanceiidae,C,,,,,
Synanceia verrucosa,Synanceia verrucosa,Synanceiidae,C,,,,,
Corythoichthys flavofasciatus,Syngnathidae,Syngnathidae,C,,,,,
Corythoichthys nigripectus,Syngnathidae,Syngnathidae,C,,,,,
Corythoichthys schultzi,Syngnathidae,Syngnathidae,C,,,,,
Dunckerocampus multiannulatus,Syngnathidae,Syngnathidae,C,,,,,
Syngnathidae spp.,Syngnathidae,Syngnathidae,C,,,,,
Saurida gracilis,Synodontidae,Synodontidae,C,,,,,
Synodontidae spp.,Synodontidae,Synodontidae,C,,,,,
Synodus variegatus,Synodontidae,Synodontidae,C,,,,,
Arothron diadematus,Arothron spp.,Tetraodontidae,T,,,,,
Arothron hispidus,Arothron spp.,Tetraodontidae,T,,,,,
Arothron spp.,Arothron spp.,Tetraodontidae,T,,,,,
Canthigaster coronata,Canthigaster spp.,Tetraodontidae,T,,,,,
Canthigaster margaritata,Canthigaster spp.,Tetraodontidae,T,,,,,
Canthigaster pygmaea,Canthigaster spp.,Tetraodontidae,T,,,,,
Canthigaster spp.,Canthigaster spp.,Tetraodontidae,T,,,,,
Torpedo panthera,Torpedinidae,Torpedinidae,C,,,,,
Enneapterygius pusillus,Tripterygiidae,Tripterygiidae,C,,,,,
Tripterygiidae sp.,Tripterygiidae,Tripterygiidae,C,,,,,
